"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20251211 127635 214,722 1,752","12/11/2025","12/11/2025","Credit","2147.22000","","221313167","AMERICAN CONTRAC 1019275906        55 - PAYROLL","","ACH","3327.98000","","External Deposit"
"20251209 127635 917 1,751","12/9/2025","12/9/2025","Debit","-9.17000","","221248635","VENMO *TACO BELL 7181 8558124430   NY","Food & Dining","Debit Card","1180.76000","","POS"
"20251209 127635 5,737 1,750","12/9/2025","12/9/2025","Debit","-57.37000","","221229340","DOMINION ENERGY BILLPAY - BILLPAY","","ACH","1189.93000","","External W/D"
"20251208 127635 200,000 1,749","12/8/2025","12/8/2025","Debit","-2000.00000","","221182343","CHASE CREDIT CRD  - EPAY","","ACH","1247.30000","","External W/D"
"20251205 127635 94,617 1,748","12/5/2025","12/5/2025","Credit","946.17000","","221087829","AMERICAN CONTRAC 1019275906        55 - PAYROLL","","ACH","3247.30000","","External Deposit"
"20251203 127635 24,730 1,747","12/3/2025","12/3/2025","Debit","-247.30000","","221002570","DISCOVER DC PYMNTS DCIDPIINT - E-PAYMENT","Shopping","ACH","2301.13000","","External W/D"
"20251202 127635 242,083 1,746","12/2/2025","12/2/2025","Debit","-2420.83000","","220941967","GATES-6003OP 800-866-1124 - WEB PMTS","","ACH","2548.43000","","External W/D"
"20251201 127635 18,000 1,745","12/1/2025","12/1/2025","Credit","180.00000","","220930052","VENMO 251201PPZ7VP - CASHOUT","","ACH","4969.26000","","External Deposit"
"20251130 127635 700 1,744","11/30/2025","11/30/2025","Debit","-7.00000","","220852923","VENMO *KAMBER SCHMIDT 8558124430   NY","Financial","Debit Card","4789.26000","","POS"
"20251126 127635 214,723 1,743","11/26/2025","11/26/2025","Credit","2147.23000","","220717108","AMERICAN CONTRAC 1019275906        55 - PAYROLL","","ACH","4796.26000","","External Deposit"
"20251124 127635 239,285 1,742","11/24/2025","11/24/2025","Debit","-2392.85000","","220632975","CHASE CREDIT CRD  - EPAY","","ACH","2649.03000","","External W/D"
"20251121 127635 106 1,741","11/21/2025","11/21/2025","Debit","-1.06000","","220555957","APPLE.COM/BILL CUPERTINO    CA                       US","","Debit Card","5041.88000","","POS"
"20251120 127635 17,021 1,740","11/20/2025","11/20/2025","Credit","170.21000","","220494458","VENMO 251119PPZ4AU - CASHOUT","","ACH","5042.94000","","External Deposit"
"20251119 127635 4,000 1,739","11/19/2025","11/19/2025","Debit","-40.00000","","220469725","CHASE CREDIT CRD  - AUTOPAY","","ACH","4872.73000","","External W/D"
"20251113 127635 214,722 1,738","11/13/2025","11/13/2025","Credit","2147.22000","","220240164","AMERICAN CONTRAC 1019275906        55 - PAYROLL","","ACH","4912.73000","","External Deposit"
